region,cultivo,piso_asignado,distrito,produccion_total_ton,nivel_confianza,regla_asignacion,categoria_agronomica,justificacion
Ica,aceituna,costa,Chincha Alta,30373.23,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en Ica: costa (prioridad agronómica 1/2).
Ica,aji,costa,Chincha Alta,46707.77,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,ajo,costa,Chincha Alta,184.83,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/5).
Ica,alcachofa,costa,Chincha Alta,210549.2,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/3).
Ica,alfalfa,costa,Chincha Alta,757682.18,alta,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,algodon_rama,costa,Chincha Alta,74580.11,alta,taxonomia_piso_prioridad,industrial,Primer piso compatible en Ica: costa (prioridad agronómica 1/3).
Ica,arandano,costa,Chincha Alta,174125.98,alta,taxonomia_piso_prioridad,frutales_bosque,Primer piso compatible en Ica: costa (prioridad agronómica 1/2).
Ica,arveja_grano_seco,costa,Chincha Alta,13.5,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Ica: costa (prioridad agronómica 4/4).
Ica,arveja_verde,costa,Chincha Alta,1831.13,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Ica: costa (prioridad agronómica 4/4).
Ica,camote,costa,Chincha Alta,150384.36,alta,taxonomia_piso_prioridad,raices,Primer piso compatible en Ica: costa (prioridad agronómica 1/8).
Ica,cebolla,costa,Chincha Alta,563439.22,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/5).
Ica,esparrago,costa,Chincha Alta,959796.24,alta,taxonomia_piso_prioridad,agroexportacion_costa,Primer piso compatible en Ica: costa (prioridad agronómica 1/1).
Ica,frijol_grano_seco,costa,Chincha Alta,8845.49,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,haba_grano_seco,costa,Chincha Alta,7.5,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Ica: costa (prioridad agronómica 1/3).
Ica,limon_sutil,costa,Chincha Alta,9091.86,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en Ica: costa (prioridad agronómica 1/5).
Ica,maiz_amarillo_duro,costa,Chincha Alta,924060.72,alta,taxonomia_piso_prioridad,granos,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,maiz_chala,costa,Chincha Alta,89.0,alta,taxonomia_piso_prioridad,granos,Primer piso compatible en Ica: costa (prioridad agronómica 1/5).
Ica,maiz_choclo,costa,Chincha Alta,123733.03,media,override_regional,granos,Maíz choclo en valle de Ica costa; parte puede provenir de zonas altas.
Ica,mandarina,costa,Chincha Alta,1106304.0,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en Ica: costa (prioridad agronómica 1/7).
Ica,mango,costa,Chincha Alta,45088.75,alta,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,naranja,costa,Chincha Alta,181318.47,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en Ica: costa (prioridad agronómica 1/9).
Ica,pallar_grano_seco,costa,Chincha Alta,21909.81,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Ica: costa (prioridad agronómica 1/1).
Ica,palta,costa,Chincha Alta,645631.29,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,papa,costa,Chincha Alta,791326.75,baja,override_regional,andinos,Producción MIDAGRI regional incluye sierra alta de Ica; único distrito NASA es costa → proxy débil.
Ica,papaya,costa,Chincha Alta,3121.33,alta,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Ica: costa (prioridad agronómica 1/7).
Ica,paprika,costa,Chincha Alta,25115.81,alta,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en Ica: costa (prioridad agronómica 1/2).
Ica,pimiento,costa,Chincha Alta,3888.92,alta,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en Ica: costa (prioridad agronómica 1/3).
Ica,tangelo,costa,Chincha Alta,150249.39,alta,taxonomia_piso_prioridad,citricos,Primer piso compatible en Ica: costa (prioridad agronómica 1/3).
Ica,tomate,costa,Chincha Alta,702007.14,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Ica,tuna,costa,Chincha Alta,4492.43,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en Ica: costa (prioridad agronómica 1/4).
Ica,uva,costa,Chincha Alta,2632079.83,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Ica: costa (prioridad agronómica 2/2).
Ica,yuca,costa,Chincha Alta,51171.08,alta,taxonomia_piso_prioridad,raices,Primer piso compatible en Ica: costa (prioridad agronómica 1/7).
Ica,zanahoria,costa,Chincha Alta,470.69,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/5).
Ica,zapallo,costa,Chincha Alta,159280.27,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Ica: costa (prioridad agronómica 1/6).
Junin,aji,selva_alta,Perene,6515.1,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: selva_alta (prioridad agronómica 4/6).
Junin,ajo,sierra,El Tambo,28339.1,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: sierra (prioridad agronómica 2/5).
Junin,alcachofa,sierra,El Tambo,21358.28,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: sierra (prioridad agronómica 2/3).
Junin,alfalfa,sierra,El Tambo,829310.31,media,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en Junin: sierra (prioridad agronómica 2/6).
Junin,arroz_cascara,selva_alta,Perene,5238.65,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Junin: selva_alta (prioridad agronómica 3/5).
Junin,arveja_grano_seco,sierra,El Tambo,7390.88,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Junin: sierra (prioridad agronómica 1/4).
Junin,arveja_verde,sierra,El Tambo,190864.54,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Junin: sierra (prioridad agronómica 1/4).
Junin,avena_forrajera,sierra,El Tambo,614215.5,alta,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en Junin: sierra (prioridad agronómica 1/3).
Junin,cacao,selva_baja,Rio Tambo,179316.78,alta,override_regional,permanentes_selva,Cacao en selva baja de la región (Corrección documentada del grupo).
Junin,cafe_pergamino,selva_alta,Perene,370046.39,alta,taxonomia_piso_prioridad,permanentes_selva,Primer piso compatible en Junin: selva_alta (prioridad agronómica 1/4).
Junin,cebada_forrajera,sierra,El Tambo,87951.26,alta,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en Junin: sierra (prioridad agronómica 1/3).
Junin,cebada_grano,sierra,El Tambo,106598.13,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 1/3).
Junin,cebolla,sierra,El Tambo,12378.7,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: sierra (prioridad agronómica 2/5).
Junin,frijol_grano_seco,sierra,El Tambo,25762.57,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Junin: sierra (prioridad agronómica 3/6).
Junin,granadilla,selva_alta,Perene,54855.77,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Junin: selva_alta (prioridad agronómica 2/4).
Junin,haba_grano_seco,sierra,El Tambo,17306.04,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Junin: sierra (prioridad agronómica 2/3).
Junin,limon_sutil,selva_alta,Perene,19955.9,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en Junin: selva_alta (prioridad agronómica 4/5).
Junin,maiz_amarillo_duro,selva_alta,Perene,131260.88,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Junin: selva_alta (prioridad agronómica 4/6).
