region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica,produccion_piso_ton_z,temp_promedio_z,temp_maxima_z,precipitacion_z,humedad_relativa_z,radiacion_solar_z,humedad_suelo_z,anomalia,score_anomalia,evento_conocido
Piura,valle_chira,Sullana,2023,4,Abril,7,670.6,26.71,33.85,21.53,7.36,78.75,16.45,1.99,99.38,0.57,27.47,22.37,17.12,-1.0971377123214021,0.5977332102381463,-1.1561137246056599,5.329183822088557,4.9145903017714705,-1.283686020095506,5.374069177385305,True,0.6935592655502288,nino_costero_2023_2024
Piura,bosque_seco,Tambogrande,2023,4,Abril,4,22328.6,26.71,33.85,21.53,7.36,78.75,16.45,1.99,99.38,0.57,27.47,22.37,17.12,-0.45584056159331254,0.5977332102381463,-1.1561137246056599,5.329183822088557,4.9145903017714705,-1.283686020095506,5.374069177385305,True,0.6868378277990802,nino_costero_2023_2024
Piura,valle_piura,Castilla,2023,4,Abril,1,2800.0,26.71,33.85,21.53,7.36,78.75,17.31,1.99,99.38,0.57,27.47,22.37,17.12,-0.5781001134791014,0.584514456105327,-1.1672606021375531,5.288151167209333,4.890155018949839,-1.2852907500241442,5.341932296230127,True,0.6861627629811619,nino_costero_2023_2024
Piura,valle_chira,Ignacio Escudero,2023,4,Abril,1,0.0,26.71,33.85,21.53,7.36,78.75,16.45,1.99,99.38,0.57,27.47,22.37,17.12,-0.7421164011300344,0.6551886438484652,-1.1255095751560795,5.215775065970303,4.8247352173641875,-1.247179677181811,5.279288361888027,True,0.6829710271185049,nino_costero_2023_2024
Junin,selva_alta,Rio Negro,2025,3,Marzo,1,42552.75,21.71,28.68,17.67,4.58,88.67,13.23,0.09,89.24,0.67,21.59,19.58,16.06,1.0555400505429242,-1.988527632169453,-2.7798992469605905,2.9933935509685328,2.3614408714381874,-1.9943664842146767,4.223053122424644,True,0.6807524838482898,ninguno
Piura,valle_chira,Querecotillo,2023,4,Abril,1,28000.0,26.71,33.85,21.53,7.36,78.75,16.45,1.99,99.38,0.57,27.47,22.37,17.12,-0.44425194212074726,0.5749820669684687,-1.1610307926948695,5.248454259302137,4.842162102787324,-1.2614632606121594,5.292775076787978,True,0.6806189323548427,nino_costero_2023_2024
Junin,selva_baja,Rio Tambo,2025,3,Marzo,2,8469.183,21.71,28.68,17.67,4.58,88.67,13.23,0.09,89.24,0.67,21.59,19.58,16.06,-1.2284644962506663,-1.988527632169453,-2.7798992469605905,2.9933935509685328,2.3614408714381874,-1.9943664842146767,4.223053122424644,True,0.6750926232949888,ninguno
Ica,costa,Santiago,2025,6,Junio,1,8316.43,17.13,25.05,12.09,4.08,66.52,16.05,2.21,87.14,0.52,17.09,10.34,9.12,-1.0235500430590965,-1.8130542729511336,-2.221990871598042,4.632794930137057,0.7904763106660264,-2.1291382957496023,3.4133049121168244,True,0.6584738422059142,ninguno
La Libertad,costa,Viru,2025,6,Junio,28,446367.071,19.55,26.62,15.58,2.58,79.62,14.73,2.44,94.15,0.45,20.49,15.63,11.84,-0.9129735813083248,-0.48712209222607245,-0.6056343594456124,4.729662324514302,0.9775262816552456,-2.7570210518237044,4.525995708551937,True,0.6498159352643297,ninguno
Ica,costa,Chincha Alta,2025,6,Junio,26,22391.63,18.05,23.54,13.86,2.43,78.54,10.56,3.19,95.96,0.41,18.54,14.02,10.47,-0.500848344037518,-0.9465654497550333,-1.3559014910502991,5.866552067267727,1.2286250868229922,-2.0025459268948618,4.404384654799991,True,0.6472981485887885,ninguno
Junin,sierra,San Agustin,2025,3,Marzo,1,26236.6,8.52,15.14,1.81,4.43,89.55,14.85,1.82,64.95,0.75,9.2,6.72,9.53,1.3883316350221135,-0.7759794888957645,-2.2624838411372665,2.4789972461076393,2.767615884215723,-2.0268774702900845,3.507495244800926,True,0.6461346683777627,ninguno
Ica,costa,El Carmen,2025,6,Junio,2,37874.37,18.05,23.54,13.86,2.43,78.54,10.56,3.19,95.96,0.41,18.54,14.02,10.47,0.44352437802884076,-0.9465654497550333,-1.3559014910502991,5.866552067267727,1.2286250868229922,-2.0025459268948618,4.404384654799991,True,0.6445730915956915,ninguno
Ica,costa,Independencia,2025,6,Junio,2,21652.92,18.05,23.54,13.86,2.43,78.54,10.56,3.19,95.96,0.41,18.54,14.02,10.47,-0.29035063838902014,-0.9465654497550333,-1.3559014910502991,5.866552067267727,1.2286250868229922,-2.0025459268948618,4.404384654799991,True,0.6445056749502743,ninguno
Junin,selva_alta,Pangoa,2025,3,Marzo,1,18595.31,18.7,24.2,15.12,5.56,92.6,13.23,0.23,83.88,0.78,18.64,17.29,14.9,0.23391671070788977,-1.822268710899153,-2.6427054076224743,2.6074718195554567,2.3102852356253027,-1.9943664842146767,3.999601718615946,True,0.64299180261226,ninguno
Junin,sierra,Huasahuasi,2025,3,Marzo,1,53034.9,9.11,16.23,3.8,4.22,86.36,14.16,2.09,65.46,0.62,10.59,6.62,9.41,0.4843550035656899,-0.2979617160595712,-2.0651356537418684,3.8170876479186697,2.7347108842728214,-1.9259241640075484,3.1129800878788267,True,0.6425167026300432,ninguno
Piura,sierra,Canchaque,2023,4,Abril,21,2510.161,18.94,26.65,13.59,4.09,81.2,14.11,1.09,83.14,0.57,19.85,15.19,13.06,-0.9512220363126445,-1.2626102247684952,-2.448753902961297,3.405979032516669,2.4468795208043828,-1.1403226504597759,4.916553425078199,True,0.641035667543407,nino_costero_2023_2024
Junin,selva_alta,Pichanaqui,2021,1,Enero,1,0.0,18.1,23.74,14.09,5.35,85.64,14.92,0.78,82.5,0.65,18.42,15.34,13.38,-0.9929349463695971,-1.8806242107697362,-3.0872485462665185,4.352533103976292,1.9122172157694304,-0.2467960508624194,2.7395759079173287,True,0.6393556560520385,ninguno
Junin,sierra,Matahuasi,2025,3,Marzo,1,14788.45,6.66,14.78,0.94,4.19,85.43,14.16,2.01,61.88,0.72,8.06,4.1,8.31,1.7549240153792791,-0.5646689575065182,-1.9829550211104812,2.971906398573674,2.435368774482086,-1.9259241640075484,3.282264533635498,True,0.6392548295591973,ninguno
Junin,selva_alta,Perene,2021,1,Enero,11,36849.569,18.1,23.74,14.09,5.35,85.64,13.76,0.78,82.5,0.65,18.42,15.34,13.38,-0.9244174203798201,-1.9409244712783202,-3.209357690339052,4.390262248201191,1.905710546574811,-1.0065952856465705,2.8745967312856426,True,0.637020278828268,ninguno
Junin,sierra,Matahuasi,2025,7,Julio,1,16788.5,4.43,14.59,-4.34,0.22,71.99,19.22,2.17,61.98,0.61,5.53,-1.49,5.71,3.108695003216466,-3.1009959929416038,-2.1086654179345605,-0.6395986716894319,0.026567659357985142,1.2032819858329225,1.8833278549122203,True,0.6361469819626947,ninguno
Junin,selva_alta,Perene,2025,3,Marzo,11,50844.55,18.41,24.84,14.4,4.5,87.53,12.58,0.64,82.64,0.65,18.6,16.02,13.93,0.9854753539787225,-1.6240511142883354,-2.396614503023613,3.5613697220823277,2.159402600318526,-1.897497620968442,2.8745967312856426,True,0.6355131742418345,ninguno
Ica,costa,Nazca,2025,2,Febrero,1,227.41,22.14,28.83,17.54,2.62,76.0,14.62,2.79,91.59,0.32,25.02,17.34,13.61,-0.612198028975188,1.2599192018154708,0.5485263895473614,4.983612490336207,2.2420019509650646,-2.1412730646751257,1.8328656380418404,True,0.6332305248782972,ninguno
Junin,sierra,San Jose de Quero,2025,3,Marzo,1,16954.5,6.66,14.78,0.94,4.19,85.43,14.85,2.01,61.88,0.72,8.06,4.1,8.31,0.6786566924469909,-0.5646689575065182,-1.9829550211104812,2.971906398573674,2.435368774482086,-2.0268774702900845,3.282264533635498,True,0.6306767687306395,ninguno
Junin,sierra,El Tambo,2025,3,Marzo,21,19860.875,8.52,15.14,1.81,4.43,89.55,14.85,1.82,64.95,0.75,9.2,6.72,9.53,0.4211515706367106,-0.7759794888957645,-2.2624838411372665,2.4789972461076393,2.767615884215723,-2.0268774702900845,3.507495244800926,True,0.6265292620964884,ninguno
San Martin,selva_huallaga,Bajo Biavo,2021,3,Marzo,2,65221.92,23.3,30.76,18.84,7.12,87.6,15.67,0.05,94.32,0.7,23.22,20.91,16.48,-1.1516610502197808,-1.972980826974886,-2.2688748376031764,3.645239907972082,2.0664630593586186,-0.8185790842016851,3.032777988283392,True,0.6263277345567493,ninguno
Ica,costa,Salas,2025,6,Junio,2,4107.1,17.13,25.05,12.09,4.08,66.52,18.38,2.21,87.14,0.52,17.09,10.34,9.12,-0.6913632230411273,-1.8130542729511336,-2.221990871598042,4.632794930137057,0.7904763106660264,-1.1861649461773265,3.4133049121168244,True,0.6261574646630962,ninguno
San Martin,selva_huallaga,Tocache,2023,10,Octubre,3,79071.56,27.64,36.57,19.86,0.34,50.9,15.76,0.03,89.83,0.57,27.57,15.82,12.6,1.4136429853909491,3.0780633569460942,2.382480674271269,-1.4161332697632454,-2.4880829060377927,0.2939096161219047,-1.250368588833264,True,0.6256543937967644,nino_costero_2023_2024
La Libertad,costa,Guadalupe,2023,4,Abril,1,165328.5,22.83,30.21,18.27,1.79,79.88,18.44,1.95,91.7,0.52,23.67,18.72,14.92,2.7663102282455685,1.054038369550233,0.5789943162144866,1.0811452106402166,2.168873772555803,-0.672215929847328,3.3130662465809557,True,0.6224732283735716,nino_costero_2023_2024
La Libertad,costa,Guadalupe,2025,6,Junio,1,135088.2,20.93,28.67,15.38,3.7,73.06,13.57,2.43,91.87,0.48,21.85,15.32,11.95,2.172514416003753,-0.7940658186712336,-0.6879374878768038,3.265266448673962,0.9088341968016309,-2.6623019957175384,2.2398766894062647,True,0.6218809777712863,ninguno
Piura,valle_chira,Ignacio Escudero,2025,6,Junio,1,209537.0,24.17,34.24,17.75,4.32,69.31,14.21,4.08,99.62,0.46,25.62,17.51,12.6,2.790852276937947,-0.6940897034058889,-0.8756044535811763,2.902076215289572,2.09959366135124,-2.1706875905097447,1.6532641748083554,True,0.6215461301121987,ninguno
Ica,costa,Salas,2025,2,Febrero,2,126833.55,19.68,26.84,15.63,4.08,79.76,16.15,2.76,87.03,0.47,21.88,15.74,12.97,1.197367231321425,0.5853559416485486,-0.5456506652579298,4.632794930137057,2.0776559670574857,-1.9165423873529868,2.0083125754101396,True,0.6142185960265016,ninguno
Junin,sierra,San Agustin,2025,4,Abril,1,53881.7,8.62,15.89,2.29,1.75,87.93,17.25,1.79,64.96,0.73,9.37,6.51,9.41,3.487621507098304,-0.6556725913925459,-1.7765633665394371,0.45456429158776046,2.424444224634441,-0.9199020230263739,3.2548366890313676,True,0.6132306575230961,ninguno
