regla,soporte,confianza,lift
radiacion_solar=bajo & temp_maxima=alto & temp_promedio=alto -> caida_fuerte,0.0309,0.3466,1.4241
humedad_suelo=medio & temp_maxima=alto & temp_promedio=alto -> caida_fuerte,0.0241,0.3298,1.3547
radiacion_solar=bajo & temp_promedio=alto -> caida_fuerte,0.0352,0.3278,1.3467
radiacion_solar=bajo & temp_maxima=alto -> caida_fuerte,0.0364,0.3253,1.3363
humedad_suelo=medio & temp_maxima=alto -> caida_fuerte,0.0306,0.3152,1.2951
humedad_suelo=medio & temp_promedio=alto -> caida_fuerte,0.0296,0.3116,1.2802
humedad_relativa=alto & temp_maxima=alto & temp_promedio=alto -> caida_fuerte,0.0214,0.3047,1.2516
precipitacion=medio & temp_maxima=alto & temp_promedio=alto -> caida_fuerte,0.0353,0.3041,1.2491
humedad_relativa=alto & temp_promedio=alto -> caida_fuerte,0.0331,0.3035,1.247
precipitacion=alto & temp_promedio=alto -> caida_fuerte,0.0348,0.303,1.2447
precipitacion=medio & temp_maxima=alto -> caida_fuerte,0.0426,0.3025,1.2427
humedad_relativa=alto & precipitacion=alto & temp_promedio=alto -> caida_fuerte,0.0203,0.3016,1.239
