region,cultivo,distrito_actual,cultivo_sisagri,distrito_real_1,produccion_ton_1,cosecha_ha_1,rendimiento_ton_ha_1,distrito_real_2,produccion_ton_2,estado,fuente_evidencia,nivel_confianza,nota
Ica,alfalfa,Chincha Alta,ALFALFA,INDEPENDENCIA,235662.6,2176.5,108.28,GROCIO PRADO,78228.3,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,esparrago,Chincha Alta,ESPARRAGO,SANTIAGO,328506.1,5416.4,60.65,SALAS,322919.2,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,maiz_amarillo_duro,Chincha Alta,MAIZ AMARILLO DURO,INDEPENDENCIA,350989.7,39238.0,8.95,HUMAY,137742.1,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,mandarina,Chincha Alta,MANDARINA,EL CARMEN,422236.4,1228.0,343.84,ALTO LARAN,257023.2,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,palta,Chincha Alta,PALTA,EL CARMEN,125142.1,7184.5,17.42,ALTO LARAN,86207.8,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,papa,Chincha Alta,PAPA,NAZCA,242236.3,6648.1,36.44,VISTA ALEGRE,142531.1,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,tomate,Chincha Alta,TOMATE,SALAS,201266.0,1512.0,133.11,SANTIAGO,92619.0,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Ica,uva,Chincha Alta,VID,SALAS,799010.9,4657.2,171.56,SANTIAGO,350824.2,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,alfalfa,El Tambo,ALFALFA,MATAHUASI,65139.5,319.0,204.2,SICAYA,64958.8,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,avena_forrajera,El Tambo,AVENA FORRAJERA,SAN JOSE DE QUERO,49383.0,2222.0,22.22,SINCOS,46327.3,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,cafe_pergamino,Perene,CAFE,PICHANAQUI,89394.0,18603.0,4.81,PERENE,82924.3,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,maiz_choclo,El Tambo,MAIZ CHOCLO,SAN AGUSTIN,40617.1,2720.0,14.93,MATAHUASI,40311.8,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,naranja,Perene,NARANJA,PERENE,390797.7,3348.0,116.73,SATIPO,298032.9,COINCIDE,sisagri_excel_medido,alta,
Junin,papa,El Tambo,PAPA,HUASAHUASI,647138.4,28407.0,22.78,ULCUMAYO,247498.8,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,pina,Perene,PIÑA,RIO NEGRO,690444.8,1558.0,443.16,PANGOA,519508.9,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,platano,Perene,PLATANO,PANGOA,266669.6,3398.0,78.48,PERENE,156219.5,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Junin,yuca,Rio Tambo,YUCA,RIO TAMBO,159255.3,11343.0,14.04,PANGOA,130405.4,COINCIDE,sisagri_excel_medido,alta,
La Libertad,arroz_cascara,Viru,ARROZ,GUADALUPE,380492.0,33623.5,11.32,PACANGA,348973.0,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
La Libertad,cana_para_azucar,Viru,CAÑA DE AZUCAR (ALCOHOL),Casa Grande (Ascope) o Laredo (Trujillo),,,,,,SIN_EVIDENCIA,gemini_hipotesis_no_verificada,baja,"SISAGRI no registra ningun tipo de cana de azucar en La Libertad (ni siquiera la variante alcohol). Candidato propuesto por Gemini (LLM, sin cifras verificadas) — Casa Grande y Laredo son zonas caneras historicas conocidas, pero no hay evidencia medida."
La Libertad,palta,Viru,PALTA,VIRU,671839.5,35602.6,18.87,CHAO,383711.5,COINCIDE,sisagri_excel_medido,alta,
La Libertad,papa,Huamachuco,PAPA,HUAMACHUCO,272371.0,12291.0,22.16,OTUZCO,213942.3,COINCIDE,sisagri_excel_medido,alta,
Piura,arroz_cascara,Sullana,ARROZ,IGNACIO ESCUDERO,505128.0,51816.0,9.75,MARCAVELICA,275368.0,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Piura,cana_para_azucar,Sullana,CAÑA DE AZUCAR (ALCOHOL),JILILI,104422.0,2699.0,38.69,MONTERO,94527.0,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido_parcial,media,"SISAGRI solo registra la variante 'CANA DE AZUCAR (ALCOHOL)', un producto secundario distinto de la industria azucarera dominante (azucar de exportacion). El distrito real calculado abajo puede no representar la zona cazucarera principal de Piura."
Piura,mango,Tambogrande,MANGO,TAMBO GRANDE,1297860.0,20512.0,63.27,CHULUCANAS,166187.0,COINCIDE,sisagri_excel_medido,alta,
Piura,platano,Sullana,PLATANO,QUERECOTILLO,380603.0,2214.0,171.91,MARCAVELICA,374860.0,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Piura,uva,Sullana,VID,CASTILLA,556876.0,3389.0,164.32,CHULUCANAS,111290.0,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Puno,alfalfa,Ilave,ALFALFA,TARACO,888627.0,6580.0,135.05,PUCARA,671600.4,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Puno,avena_forrajera,Ayaviri,AVENA FORRAJERA,PUCARA,1143212.2,30102.0,37.98,MACARI,903808.1,DIFIERE_PUNTO_NUEVO,sisagri_excel_medido,alta,
Puno,papa,Ayaviri,PAPA,ILAVE,306829.8,20298.0,15.12,AYAPATA,266578.2,DIFIERE_PUNTO_EXISTENTE,sisagri_excel_medido,alta,
