region,piso_ecologico,distrito,cultivo,anio,numero_mes,mes,produccion_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Ica,costa,Independencia,alfalfa,2020,1,Enero,10684.89,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Santiago,esparrago,2020,1,Enero,14799.6,20.41,27.63,14.85,0.37,69.73,22.02,3.01,87.06,0.39,23.71,14.15,11.72
Ica,costa,Independencia,maiz_amarillo_duro,2020,1,Enero,9000.19,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,El Carmen,mandarina,2020,1,Enero,0.0,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,El Carmen,palta,2020,1,Enero,7.1,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Ica,costa,Nazca,papa,2020,1,Enero,0.0,22.23,29.94,17.36,0.29,71.1,20.28,3.17,91.64,0.27,26.1,16.24,12.71
Ica,costa,Salas,tomate,2020,1,Enero,25123.8,20.41,27.63,14.85,0.37,69.73,20.09,3.01,87.06,0.39,23.71,14.15,11.72
Ica,costa,Salas,uva,2020,1,Enero,105129.7,20.41,27.63,14.85,0.37,69.73,20.09,3.01,87.06,0.39,23.71,14.15,11.72
Ica,costa,Independencia,alfalfa,2020,2,Febrero,11343.11,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Santiago,esparrago,2020,2,Febrero,15070.67,20.97,27.95,16.35,0.52,70.12,22.42,2.87,87.05,0.39,24.16,14.82,12.23
Ica,costa,Independencia,maiz_amarillo_duro,2020,2,Febrero,12378.1,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,El Carmen,mandarina,2020,2,Febrero,320.0,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,El Carmen,palta,2020,2,Febrero,133.1,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Ica,costa,Nazca,papa,2020,2,Febrero,0.0,22.88,30.23,17.69,0.26,70.11,18.31,2.97,91.62,0.27,26.46,16.56,12.98
Ica,costa,Salas,tomate,2020,2,Febrero,9841.0,20.97,27.95,16.35,0.52,70.12,19.67,2.87,87.05,0.39,24.16,14.82,12.23
Ica,costa,Salas,uva,2020,2,Febrero,66670.01,20.97,27.95,16.35,0.52,70.12,19.67,2.87,87.05,0.39,24.16,14.82,12.23
Ica,costa,Independencia,alfalfa,2020,3,Marzo,10925.32,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Santiago,esparrago,2020,3,Marzo,14653.4,20.72,28.21,15.86,0.71,70.6,21.86,2.81,87.08,0.39,23.58,14.68,12.1
Ica,costa,Independencia,maiz_amarillo_duro,2020,3,Marzo,8992.65,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,El Carmen,mandarina,2020,3,Marzo,12535.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,El Carmen,palta,2020,3,Marzo,6100.0,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Ica,costa,Nazca,papa,2020,3,Marzo,169.2,22.51,30.71,17.92,0.37,71.82,18.19,2.87,91.65,0.27,25.65,16.61,12.99
Ica,costa,Salas,tomate,2020,3,Marzo,7764.3,20.72,28.21,15.86,0.71,70.6,19.24,2.81,87.08,0.39,23.58,14.68,12.1
Ica,costa,Salas,uva,2020,3,Marzo,35329.05,20.72,28.21,15.86,0.71,70.6,19.24,2.81,87.08,0.39,23.58,14.68,12.1
Ica,costa,Independencia,alfalfa,2020,4,Abril,11112.69,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Santiago,esparrago,2020,4,Abril,14738.57,20.2,28.68,13.79,0.15,60.37,22.81,2.54,87.14,0.39,22.09,11.51,9.97
Ica,costa,Independencia,maiz_amarillo_duro,2020,4,Abril,11051.15,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,El Carmen,mandarina,2020,4,Abril,28944.2,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,El Carmen,palta,2020,4,Abril,9422.72,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Nazca,papa,2020,4,Abril,230.25,21.3,28.96,15.36,0.16,65.74,22.17,2.69,91.73,0.27,23.69,13.86,11.01
Ica,costa,Salas,tomate,2020,4,Abril,1505.7,20.2,28.68,13.79,0.15,60.37,22.85,2.54,87.14,0.39,22.09,11.51,9.97
Ica,costa,Salas,uva,2020,4,Abril,5521.15,20.2,28.68,13.79,0.15,60.37,22.85,2.54,87.14,0.39,22.09,11.51,9.97
Ica,costa,Independencia,alfalfa,2020,5,Mayo,11133.92,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Santiago,esparrago,2020,5,Mayo,14070.719,19.56,28.63,13.21,0.13,51.41,19.92,2.22,87.14,0.38,20.49,8.16,8.13
Ica,costa,Independencia,maiz_amarillo_duro,2020,5,Mayo,34653.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,El Carmen,mandarina,2020,5,Mayo,36201.25,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,El Carmen,palta,2020,5,Mayo,27082.359,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Nazca,papa,2020,5,Mayo,156.4,19.81,27.95,13.89,0.09,60.82,20.62,2.24,91.73,0.27,21.29,11.11,9.29
Ica,costa,Salas,tomate,2020,5,Mayo,3056.95,19.56,28.63,13.21,0.13,51.41,20.67,2.22,87.14,0.38,20.49,8.16,8.13
Ica,costa,Salas,uva,2020,5,Mayo,0.0,19.56,28.63,13.21,0.13,51.41,20.67,2.22,87.14,0.38,20.49,8.16,8.13
Ica,costa,Independencia,alfalfa,2020,6,Junio,10591.899,17.99,24.05,13.9,0.0,72.46,12.75,3.12,95.94,0.32,18.7,12.55,9.59
Ica,costa,Santiago,esparrago,2020,6,Junio,15561.5,17.65,26.6,11.08,0.0,53.25,18.98,2.36,87.11,0.38,18.33,6.85,7.44
Ica,costa,Independencia,maiz_amarillo_duro,2020,6,Junio,19126.2,17.99,24.05,13.9,0.0,72.46,12.75,3.12,95.94,0.32,18.7,12.55,9.59
Ica,costa,El Carmen,mandarina,2020,6,Junio,32010.9,17.99,24.05,13.9,0.0,72.46,12.75,3.12,95.94,0.32,18.7,12.55,9.59
Ica,costa,El Carmen,palta,2020,6,Junio,19140.15,17.99,24.05,13.9,0.0,72.46,12.75,3.12,95.94,0.32,18.7,12.55,9.59
Ica,costa,Nazca,papa,2020,6,Junio,55.76,17.63,24.49,11.28,0.04,64.33,20.12,2.54,91.73,0.27,19.02,10.07,8.61
Ica,costa,Salas,tomate,2020,6,Junio,1697.8,17.65,26.6,11.08,0.0,53.25,20.43,2.36,87.11,0.38,18.33,6.85,7.44
Ica,costa,Salas,uva,2020,6,Junio,1.0,17.65,26.6,11.08,0.0,53.25,20.43,2.36,87.11,0.38,18.33,6.85,7.44
Ica,costa,Independencia,alfalfa,2020,7,Julio,10732.11,17.13,23.99,13.47,0.0,68.67,13.58,3.02,95.91,0.32,17.81,10.82,8.58
Ica,costa,Santiago,esparrago,2020,7,Julio,14856.82,17.1,26.45,10.32,0.01,47.39,20.17,2.36,87.07,0.37,17.62,4.51,6.37
Ica,costa,Independencia,maiz_amarillo_duro,2020,7,Julio,8190.61,17.13,23.99,13.47,0.0,68.67,13.58,3.02,95.91,0.32,17.81,10.82,8.58
Ica,costa,El Carmen,mandarina,2020,7,Julio,44502.6,17.13,23.99,13.47,0.0,68.67,13.58,3.02,95.91,0.32,17.81,10.82,8.58
Ica,costa,El Carmen,palta,2020,7,Julio,16008.32,17.13,23.99,13.47,0.0,68.67,13.58,3.02,95.91,0.32,17.81,10.82,8.58
Ica,costa,Nazca,papa,2020,7,Julio,19673.2,16.8,25.52,10.56,0.01,60.43,21.45,2.48,91.69,0.27,18.12,8.12,7.59
Ica,costa,Salas,tomate,2020,7,Julio,1742.7,17.1,26.45,10.32,0.01,47.39,21.53,2.36,87.07,0.37,17.62,4.51,6.37
Ica,costa,Salas,uva,2020,7,Julio,285.0,17.1,26.45,10.32,0.01,47.39,21.53,2.36,87.07,0.37,17.62,4.51,6.37
Ica,costa,Independencia,alfalfa,2020,8,Agosto,11311.47,17.29,23.4,12.52,0.01,66.76,15.62,3.22,95.95,0.32,18.49,10.55,8.42
Ica,costa,Santiago,esparrago,2020,8,Agosto,12661.4,17.62,26.72,11.57,0.02,46.05,21.94,2.48,87.1,0.37,19.19,4.57,6.37
Ica,costa,Independencia,maiz_amarillo_duro,2020,8,Agosto,6496.65,17.29,23.4,12.52,0.01,66.76,15.62,3.22,95.95,0.32,18.49,10.55,8.42
Ica,costa,El Carmen,mandarina,2020,8,Agosto,21562.48,17.29,23.4,12.52,0.01,66.76,15.62,3.22,95.95,0.32,18.49,10.55,8.42
Ica,costa,El Carmen,palta,2020,8,Agosto,4745.3,17.29,23.4,12.52,0.01,66.76,15.62,3.22,95.95,0.32,18.49,10.55,8.42
Ica,costa,Nazca,papa,2020,8,Agosto,49249.6,16.88,25.78,11.54,0.03,60.53,23.06,2.57,91.75,0.26,19.17,8.31,7.65
Ica,costa,Salas,tomate,2020,8,Agosto,3238.8,17.62,26.72,11.57,0.02,46.05,23.36,2.48,87.1,0.37,19.19,4.57,6.37
Ica,costa,Salas,uva,2020,8,Agosto,46.0,17.62,26.72,11.57,0.02,46.05,23.36,2.48,87.1,0.37,19.19,4.57,6.37
Ica,costa,Independencia,alfalfa,2020,9,Septiembre,10362.92,17.45,23.34,12.88,0.02,67.25,20.42,3.16,95.93,0.32,18.96,10.92,8.59
Ica,costa,Santiago,esparrago,2020,9,Septiembre,20162.85,18.04,26.8,11.55,0.1,48.21,25.54,2.64,87.08,0.38,20.15,6.14,6.89
Ica,costa,Independencia,maiz_amarillo_duro,2020,9,Septiembre,5945.0,17.45,23.34,12.88,0.02,67.25,20.42,3.16,95.93,0.32,18.96,10.92,8.59
Ica,costa,El Carmen,mandarina,2020,9,Septiembre,2982.89,17.45,23.34,12.88,0.02,67.25,20.42,3.16,95.93,0.32,18.96,10.92,8.59
Ica,costa,El Carmen,palta,2020,9,Septiembre,,17.45,23.34,12.88,0.02,67.25,20.42,3.16,95.93,0.32,18.96,10.92,8.59
Ica,costa,Nazca,papa,2020,9,Septiembre,35117.63,17.49,25.87,11.78,0.07,59.41,24.22,2.79,91.71,0.26,20.29,8.79,7.81
Ica,costa,Salas,tomate,2020,9,Septiembre,3741.1,18.04,26.8,11.55,0.1,48.21,25.33,2.64,87.08,0.38,20.15,6.14,6.89
Ica,costa,Salas,uva,2020,9,Septiembre,48.0,18.04,26.8,11.55,0.1,48.21,25.33,2.64,87.08,0.38,20.15,6.14,6.89
Ica,costa,Independencia,alfalfa,2020,10,Octubre,12494.5,18.82,24.54,14.29,0.05,66.83,23.51,3.04,95.85,0.32,20.74,12.18,9.32
Ica,costa,Santiago,esparrago,2020,10,Octubre,20485.6,19.42,27.63,12.92,0.25,49.43,26.85,2.86,87.03,0.38,22.42,7.77,7.69
Ica,costa,Independencia,maiz_amarillo_duro,2020,10,Octubre,6142.56,18.82,24.54,14.29,0.05,66.83,23.51,3.04,95.85,0.32,20.74,12.18,9.32
Ica,costa,El Carmen,mandarina,2020,10,Octubre,1606.0,18.82,24.54,14.29,0.05,66.83,23.51,3.04,95.85,0.32,20.74,12.18,9.32
Ica,costa,El Carmen,palta,2020,10,Octubre,0.0,18.82,24.54,14.29,0.05,66.83,23.51,3.04,95.85,0.32,20.74,12.18,9.32
Ica,costa,Nazca,papa,2020,10,Octubre,9419.57,19.24,27.58,13.02,0.11,57.24,24.95,2.99,91.64,0.26,22.83,9.83,8.38
Ica,costa,Salas,tomate,2020,10,Octubre,9383.44,19.42,27.63,12.92,0.25,49.43,25.95,2.86,87.03,0.38,22.42,7.77,7.69
Ica,costa,Salas,uva,2020,10,Octubre,1295.0,19.42,27.63,12.92,0.25,49.43,25.95,2.86,87.03,0.38,22.42,7.77,7.69
Ica,costa,Independencia,alfalfa,2020,11,Noviembre,11862.209,18.71,24.74,13.74,0.07,69.5,23.63,2.97,95.91,0.32,20.86,12.59,9.59
Ica,costa,Santiago,esparrago,2020,11,Noviembre,17795.4,18.99,27.02,11.68,0.14,50.28,28.64,2.9,87.07,0.38,22.32,7.41,7.58
Ica,costa,Independencia,maiz_amarillo_duro,2020,11,Noviembre,12687.46,18.71,24.74,13.74,0.07,69.5,23.63,2.97,95.91,0.32,20.86,12.59,9.59
Ica,costa,El Carmen,mandarina,2020,11,Noviembre,0.0,18.71,24.74,13.74,0.07,69.5,23.63,2.97,95.91,0.32,20.86,12.59,9.59
Ica,costa,El Carmen,palta,2020,11,Noviembre,0.0,18.71,24.74,13.74,0.07,69.5,23.63,2.97,95.91,0.32,20.86,12.59,9.59
Ica,costa,Nazca,papa,2020,11,Noviembre,1203.0,19.53,28.71,13.13,0.05,57.74,28.53,3.08,91.68,0.26,23.56,9.99,8.51
Ica,costa,Salas,tomate,2020,11,Noviembre,25185.45,18.99,27.02,11.68,0.14,50.28,28.63,2.9,87.07,0.38,22.32,7.41,7.58
Ica,costa,Salas,uva,2020,11,Noviembre,16607.34,18.99,27.02,11.68,0.14,50.28,28.63,2.9,87.07,0.38,22.32,7.41,7.58
Ica,costa,Independencia,alfalfa,2020,12,Diciembre,12597.78,20.07,26.16,16.07,0.53,75.41,23.33,2.53,95.83,0.33,21.81,15.36,11.45
Ica,costa,Santiago,esparrago,2020,12,Diciembre,15610.5,18.94,26.48,13.72,1.39,65.21,25.49,2.49,87.03,0.39,21.69,11.75,9.98
Ica,costa,Independencia,maiz_amarillo_duro,2020,12,Diciembre,6742.51,20.07,26.16,16.07,0.53,75.41,23.33,2.53,95.83,0.33,21.81,15.36,11.45
Ica,costa,El Carmen,mandarina,2020,12,Diciembre,0.0,20.07,26.16,16.07,0.53,75.41,23.33,2.53,95.83,0.33,21.81,15.36,11.45
Ica,costa,El Carmen,palta,2020,12,Diciembre,,20.07,26.16,16.07,0.53,75.41,23.33,2.53,95.83,0.33,21.81,15.36,11.45
Ica,costa,Nazca,papa,2020,12,Diciembre,0.0,20.48,28.2,15.11,0.63,65.48,20.78,2.87,91.63,0.27,24.24,13.17,10.42
