region,anio,mes_num,mes_nombre,cultivo,produccion_acumulada
Ica,2020,1,Enero,trigo,0.0
Ica,2020,2,Febrero,trigo,0.0
Ica,2020,3,Marzo,trigo,0.0
Ica,2020,4,Abril,trigo,0.0
Ica,2020,5,Mayo,trigo,0.0
Ica,2020,6,Junio,trigo,20.25
Ica,2020,7,Julio,trigo,60.1
Ica,2020,8,Agosto,trigo,60.1
Ica,2020,9,Septiembre,trigo,60.1
Ica,2020,10,Octubre,trigo,60.1
Ica,2020,11,Noviembre,trigo,60.1
Ica,2020,12,Diciembre,trigo,
Ica,2021,1,Enero,trigo,0.0
Ica,2021,2,Febrero,trigo,0.0
Ica,2021,3,Marzo,trigo,0.0
Ica,2021,4,Abril,trigo,0.0
Ica,2021,5,Mayo,trigo,
Ica,2021,6,Junio,trigo,38.775999999999996
Ica,2021,7,Julio,trigo,38.775999999999996
Ica,2021,8,Agosto,trigo,38.775999999999996
Ica,2021,9,Septiembre,trigo,38.775999999999996
Ica,2021,10,Octubre,trigo,38.775999999999996
Ica,2021,11,Noviembre,trigo,38.775999999999996
Ica,2021,12,Diciembre,trigo,38.775999999999996
Ica,2022,1,Enero,trigo,0.0
Ica,2022,2,Febrero,trigo,0.0
Ica,2022,3,Marzo,trigo,
Ica,2022,4,Abril,trigo,20.27
Ica,2022,5,Mayo,trigo,65.48
Ica,2022,6,Junio,trigo,65.48
Ica,2022,7,Julio,trigo,65.48
Ica,2022,8,Agosto,trigo,65.48
Ica,2022,9,Septiembre,trigo,65.48
Ica,2022,10,Octubre,trigo,65.48
Ica,2022,11,Noviembre,trigo,65.48
Ica,2022,12,Diciembre,trigo,65.48
Ica,2023,1,Enero,trigo,0.0
Ica,2023,2,Febrero,trigo,0.0
Ica,2023,3,Marzo,trigo,0.0
Ica,2023,4,Abril,trigo,17.490000000000002
Ica,2023,5,Mayo,trigo,39.92
Ica,2023,6,Junio,trigo,64.39
Ica,2023,7,Julio,trigo,64.39
Ica,2023,8,Agosto,trigo,64.39
Ica,2023,9,Septiembre,trigo,64.39
Ica,2023,10,Octubre,trigo,66.27
Ica,2023,11,Noviembre,trigo,66.27
Ica,2023,12,Diciembre,trigo,68.35
Ica,2024,1,Enero,trigo,0.0
Ica,2024,2,Febrero,trigo,0.0
Ica,2024,3,Marzo,trigo,0.0
Ica,2024,4,Abril,trigo,22.07
Ica,2024,5,Mayo,trigo,58.45
Ica,2024,6,Junio,trigo,74.25
Ica,2024,7,Julio,trigo,74.25
Ica,2024,8,Agosto,trigo,74.25
Ica,2024,9,Septiembre,trigo,74.25
Ica,2024,10,Octubre,trigo,74.25
Ica,2024,11,Noviembre,trigo,74.25
Ica,2024,12,Diciembre,trigo,74.25
Ica,2025,1,Enero,trigo,0.0
Ica,2025,2,Febrero,trigo,0.0
Ica,2025,3,Marzo,trigo,39.78
Ica,2025,4,Abril,trigo,62.4
Ica,2025,5,Mayo,trigo,62.4
Ica,2025,6,Junio,trigo,66.18
Ica,2025,7,Julio,trigo,66.18
Ica,2025,8,Agosto,trigo,66.18
Ica,2025,9,Septiembre,trigo,66.18
Ica,2025,10,Octubre,trigo,66.18
Ica,2025,11,Noviembre,trigo,66.18
Ica,2025,12,Diciembre,trigo,66.18
Junin,2020,1,Enero,trigo,0.0
Junin,2020,2,Febrero,trigo,0.0
Junin,2020,3,Marzo,trigo,0.0
Junin,2020,4,Abril,trigo,0.0
Junin,2020,5,Mayo,trigo,132.9
Junin,2020,6,Junio,trigo,3847.0000000000005
Junin,2020,7,Julio,trigo,6465.550000000001
Junin,2020,8,Agosto,trigo,6606.770000000001
Junin,2020,9,Septiembre,trigo,6606.7699999999995
Junin,2020,10,Octubre,trigo,6606.7699999999995
Junin,2020,11,Noviembre,trigo,6606.7699999999995
Junin,2020,12,Diciembre,trigo,
Junin,2021,1,Enero,trigo,0.0
Junin,2021,2,Febrero,trigo,0.0
Junin,2021,3,Marzo,trigo,0.0
Junin,2021,4,Abril,trigo,0.0
Junin,2021,5,Mayo,trigo,
Junin,2021,6,Junio,trigo,3897.9999999999995
Junin,2021,7,Julio,trigo,6416.65
Junin,2021,8,Agosto,trigo,6592.0
Junin,2021,9,Septiembre,trigo,6732.300000000001
Junin,2021,10,Octubre,trigo,6732.300000000001
Junin,2021,11,Noviembre,trigo,6732.300000000001
Junin,2021,12,Diciembre,trigo,6732.300000000001
Junin,2022,1,Enero,trigo,0.0
Junin,2022,2,Febrero,trigo,0.0
Junin,2022,3,Marzo,trigo,
Junin,2022,4,Abril,trigo,0.0
Junin,2022,5,Mayo,trigo,54.800000000000004
Junin,2022,6,Junio,trigo,3806.4699999999993
Junin,2022,7,Julio,trigo,7005.83
Junin,2022,8,Agosto,trigo,7134.43
Junin,2022,9,Septiembre,trigo,7239.830000000001
Junin,2022,10,Octubre,trigo,7239.830000000001
Junin,2022,11,Noviembre,trigo,7239.830000000001
Junin,2022,12,Diciembre,trigo,7239.83
Junin,2023,1,Enero,trigo,0.0
Junin,2023,2,Febrero,trigo,0.0
Junin,2023,3,Marzo,trigo,0.0
Junin,2023,4,Abril,trigo,0.0
Junin,2023,5,Mayo,trigo,2.0
Junin,2023,6,Junio,trigo,1740.0000000000002
Junin,2023,7,Julio,trigo,4836.599999999999
Junin,2023,8,Agosto,trigo,4963.799999999999
Junin,2023,9,Septiembre,trigo,4963.8
Junin,2023,10,Octubre,trigo,4963.8
Junin,2023,11,Noviembre,trigo,4963.8
Junin,2023,12,Diciembre,trigo,4963.8
Junin,2024,1,Enero,trigo,0.0
Junin,2024,2,Febrero,trigo,0.0
Junin,2024,3,Marzo,trigo,0.0
Junin,2024,4,Abril,trigo,0.0
Junin,2024,5,Mayo,trigo,0.0
Junin,2024,6,Junio,trigo,2737.7
Junin,2024,7,Julio,trigo,6863.3099999999995
Junin,2024,8,Agosto,trigo,7089.41
Junin,2024,9,Septiembre,trigo,7064.410000000002
Junin,2024,10,Octubre,trigo,7064.410000000002
Junin,2024,11,Noviembre,trigo,7064.410000000002
Junin,2024,12,Diciembre,trigo,7064.4100000000035
Junin,2025,1,Enero,trigo,0.0
Junin,2025,2,Febrero,trigo,0.0
Junin,2025,3,Marzo,trigo,0.0
Junin,2025,4,Abril,trigo,0.0
Junin,2025,5,Mayo,trigo,0.0
Junin,2025,6,Junio,trigo,2590.6999999999994
Junin,2025,7,Julio,trigo,6547.420000000001
Junin,2025,8,Agosto,trigo,6784.520000000001
Junin,2025,9,Septiembre,trigo,6733.520000000002
Junin,2025,10,Octubre,trigo,6733.520000000002
Junin,2025,11,Noviembre,trigo,6733.520000000002
Junin,2025,12,Diciembre,trigo,6733.5199999999995
La Libertad,2020,1,Enero,trigo,0.0
La Libertad,2020,2,Febrero,trigo,0.0
La Libertad,2020,3,Marzo,trigo,0.0
La Libertad,2020,4,Abril,trigo,0.0
La Libertad,2020,5,Mayo,trigo,0.0
La Libertad,2020,6,Junio,trigo,3177.0
La Libertad,2020,7,Julio,trigo,24277.5
La Libertad,2020,8,Agosto,trigo,52956.4
La Libertad,2020,9,Septiembre,trigo,60207.4
La Libertad,2020,10,Octubre,trigo,60248.4
La Libertad,2020,11,Noviembre,trigo,60248.4
La Libertad,2020,12,Diciembre,trigo,
La Libertad,2021,1,Enero,trigo,0.0
La Libertad,2021,2,Febrero,trigo,0.0
La Libertad,2021,3,Marzo,trigo,0.0
La Libertad,2021,4,Abril,trigo,0.0
La Libertad,2021,5,Mayo,trigo,
La Libertad,2021,6,Junio,trigo,5380.5
La Libertad,2021,7,Julio,trigo,33855.1
La Libertad,2021,8,Agosto,trigo,60181.1
La Libertad,2021,9,Septiembre,trigo,69998.8
La Libertad,2021,10,Octubre,trigo,70093.3
La Libertad,2021,11,Noviembre,trigo,70093.3
La Libertad,2021,12,Diciembre,trigo,71084.3
La Libertad,2022,1,Enero,trigo,0.0
La Libertad,2022,2,Febrero,trigo,0.0
La Libertad,2022,3,Marzo,trigo,
La Libertad,2022,4,Abril,trigo,0.0
La Libertad,2022,5,Mayo,trigo,0.0
La Libertad,2022,6,Junio,trigo,2169.5
La Libertad,2022,7,Julio,trigo,26074.85
La Libertad,2022,8,Agosto,trigo,55384.35
La Libertad,2022,9,Septiembre,trigo,71530.05
La Libertad,2022,10,Octubre,trigo,72501.55
La Libertad,2022,11,Noviembre,trigo,72501.55
La Libertad,2022,12,Diciembre,trigo,72000.55
La Libertad,2023,1,Enero,trigo,0.0
La Libertad,2023,2,Febrero,trigo,0.0
La Libertad,2023,3,Marzo,trigo,0.0
La Libertad,2023,4,Abril,trigo,0.0
La Libertad,2023,5,Mayo,trigo,0.0
La Libertad,2023,6,Junio,trigo,2917.5
La Libertad,2023,7,Julio,trigo,25920.55
La Libertad,2023,8,Agosto,trigo,58346.649999999994
La Libertad,2023,9,Septiembre,trigo,68455.15
La Libertad,2023,10,Octubre,trigo,68477.75
La Libertad,2023,11,Noviembre,trigo,68477.75
La Libertad,2023,12,Diciembre,trigo,68625.75
La Libertad,2024,1,Enero,trigo,0.0
La Libertad,2024,2,Febrero,trigo,0.0
La Libertad,2024,3,Marzo,trigo,0.0
La Libertad,2024,4,Abril,trigo,0.0
La Libertad,2024,5,Mayo,trigo,0.0
La Libertad,2024,6,Junio,trigo,5064.5
La Libertad,2024,7,Julio,trigo,32020.0
La Libertad,2024,8,Agosto,trigo,61585.7
La Libertad,2024,9,Septiembre,trigo,67002.7
La Libertad,2024,10,Octubre,trigo,67177.7
La Libertad,2024,11,Noviembre,trigo,67177.7
La Libertad,2024,12,Diciembre,trigo,67736.9
La Libertad,2025,1,Enero,trigo,0.0
La Libertad,2025,2,Febrero,trigo,0.0
La Libertad,2025,3,Marzo,trigo,0.0
La Libertad,2025,4,Abril,trigo,0.0
La Libertad,2025,5,Mayo,trigo,0.0
La Libertad,2025,6,Junio,trigo,1583.5
La Libertad,2025,7,Julio,trigo,23492.0
La Libertad,2025,8,Agosto,trigo,47965.5
La Libertad,2025,9,Septiembre,trigo,62313.17
La Libertad,2025,10,Octubre,trigo,64380.17
La Libertad,2025,11,Noviembre,trigo,64380.17
La Libertad,2025,12,Diciembre,trigo,64765.17
Piura,2020,1,Enero,trigo,0.0
Piura,2020,2,Febrero,trigo,0.0
Piura,2020,3,Marzo,trigo,0.0
Piura,2020,4,Abril,trigo,0.0
Piura,2020,5,Mayo,trigo,0.0
Piura,2020,6,Junio,trigo,2064.0
Piura,2020,7,Julio,trigo,6418.0
Piura,2020,8,Agosto,trigo,9432.0
Piura,2020,9,Septiembre,trigo,11195.0
Piura,2020,10,Octubre,trigo,11276.0
Piura,2020,11,Noviembre,trigo,11276.0
Piura,2020,12,Diciembre,trigo,
Piura,2021,1,Enero,trigo,0.0
Piura,2021,2,Febrero,trigo,0.0
Piura,2021,3,Marzo,trigo,0.0
Piura,2021,4,Abril,trigo,0.0
Piura,2021,5,Mayo,trigo,
Piura,2021,6,Junio,trigo,642.0
Piura,2021,7,Julio,trigo,4132.0
Piura,2021,8,Agosto,trigo,7995.0
Piura,2021,9,Septiembre,trigo,10474.0
Piura,2021,10,Octubre,trigo,10864.0
Piura,2021,11,Noviembre,trigo,10864.0
Piura,2021,12,Diciembre,trigo,11268.0
Piura,2022,1,Enero,trigo,0.0
Piura,2022,2,Febrero,trigo,0.0
Piura,2022,3,Marzo,trigo,
Piura,2022,4,Abril,trigo,0.0
Piura,2022,5,Mayo,trigo,235.0
Piura,2022,6,Junio,trigo,1119.0
Piura,2022,7,Julio,trigo,1979.0
Piura,2022,8,Agosto,trigo,4331.0
Piura,2022,9,Septiembre,trigo,11120.0
Piura,2022,10,Octubre,trigo,11120.0
Piura,2022,11,Noviembre,trigo,11120.0
Piura,2022,12,Diciembre,trigo,11125.0
Piura,2023,1,Enero,trigo,0.0
Piura,2023,2,Febrero,trigo,0.0
Piura,2023,3,Marzo,trigo,0.0
Piura,2023,4,Abril,trigo,0.0
Piura,2023,5,Mayo,trigo,0.0
Piura,2023,6,Junio,trigo,519.0
Piura,2023,7,Julio,trigo,3378.0
Piura,2023,8,Agosto,trigo,10506.0
Piura,2023,9,Septiembre,trigo,11328.0
Piura,2023,10,Octubre,trigo,11334.0
Piura,2023,11,Noviembre,trigo,11334.0
Piura,2023,12,Diciembre,trigo,11334.0
Piura,2024,1,Enero,trigo,0.0
Piura,2024,2,Febrero,trigo,20.0
Piura,2024,3,Marzo,trigo,20.0
Piura,2024,4,Abril,trigo,20.0
Piura,2024,5,Mayo,trigo,549.0
Piura,2024,6,Junio,trigo,4927.0
Piura,2024,7,Julio,trigo,7149.0
Piura,2024,8,Agosto,trigo,13914.0
Piura,2024,9,Septiembre,trigo,14373.0
Piura,2024,10,Octubre,trigo,14421.0
Piura,2024,11,Noviembre,trigo,14421.0
Piura,2024,12,Diciembre,trigo,14421.0
Piura,2025,1,Enero,trigo,0.0
Piura,2025,2,Febrero,trigo,0.0
Piura,2025,3,Marzo,trigo,0.0
Piura,2025,4,Abril,trigo,0.0
Piura,2025,5,Mayo,trigo,0.0
Piura,2025,6,Junio,trigo,66.0
Piura,2025,7,Julio,trigo,2265.0
Piura,2025,8,Agosto,trigo,10398.0
Piura,2025,9,Septiembre,trigo,13268.0
Piura,2025,10,Octubre,trigo,13333.0
Piura,2025,11,Noviembre,trigo,13334.0
Piura,2025,12,Diciembre,trigo,13334.0
Puno,2020,1,Enero,trigo,0.0
Puno,2020,2,Febrero,trigo,0.0
Puno,2020,3,Marzo,trigo,0.0
Puno,2020,4,Abril,trigo,1077.2
Puno,2020,5,Mayo,trigo,1919.6100000000001
Puno,2020,6,Junio,trigo,1906.81
Puno,2020,7,Julio,trigo,1906.81
Puno,2020,8,Agosto,trigo,1906.81
Puno,2020,9,Septiembre,trigo,1906.8100000000002
Puno,2020,10,Octubre,trigo,1906.8100000000002
Puno,2020,11,Noviembre,trigo,1906.8100000000002
Puno,2020,12,Diciembre,trigo,
Puno,2021,1,Enero,trigo,0.0
Puno,2021,2,Febrero,trigo,0.0
